Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y
loc_01453,Moderate,Béni Mellal-Khénifra,32.18183611111111,-6.237288888888889,3667.965310299883,34.06205264979465,21.3473828125,1264.3248291015625,0.15,20151.46595706468,Moderate,batch3_2026,0.047002431530695575,0,True,0
loc_01454,Moderate,Béni Mellal-Khénifra,32.17372222222222,-6.190272222222222,4008.438264217924,14.184044665084684,6.63106689453125,1037.513916015625,0.15,23526.97758436752,Moderate,batch3_2026,0.1971146469483241,0,True,0
loc_01455,Difficult,Béni Mellal-Khénifra,32.13916944444444,-6.241613888888889,5517.009003132411,5.934187518021894,3.13685546875,1302.1070556640625,0.2,24097.33484334438,Difficult,batch3_2026,0.27517224484800423,0,True,0
loc_01456,Difficult,Béni Mellal-Khénifra,32.165841666666665,-6.179147222222222,4855.344315918909,19.886359406181285,13.5334033203125,968.4141845703124,0.55,24874.87072648325,Difficult,batch3_2026,0.13019635394172033,0,True,0
loc_01457,Moderate,Béni Mellal-Khénifra,32.162791666666664,-6.157447222222222,5682.175929448224,30.14185027391835,21.386962890625,1090.269775390625,0.55,26506.65891712331,Moderate,batch3_2026,0.1147249505410125,0,True,0
loc_01458,Moderate,Béni Mellal-Khénifra,32.23994722222222,-6.10668611111111,329.864672481192,3.967033398098089,2.2708349609375,1101.2698974609375,0.2,25443.90255781465,Moderate,batch3_2026,0.7123987410124663,1,False,0
loc_01459,Moderate,Béni Mellal-Khénifra,32.30008055555555,-6.015122222222222,1757.6007403124963,19.59361581360613,12.7695166015625,1276.5819091796875,0.55,32007.74662162192,Moderate,batch3_2026,0.14254600191105937,0,True,0
loc_01460,Moderate,Béni Mellal-Khénifra,32.26376666666667,-5.923236111111112,5284.015276355976,8.072757259462833,3.3706201171875,2013.387451171875,0.15,41176.436451430585,Moderate,batch3_2026,0.13075489654802624,0,True,0
loc_01461,Moderate,Béni Mellal-Khénifra,32.530252777777775,-6.069772222222222,2735.494753803904,22.341886168167985,12.6775927734375,1331.7591552734375,0.55,34402.25729522467,Moderate,batch3_2026,0.1417718744359802,0,True,0
loc_01462,Moderate,Béni Mellal-Khénifra,32.414627777777774,-6.206419444444444,1330.1997260527112,34.118504365210875,22.23072265625,926.4317016601562,0.35,16442.419383627737,Moderate,batch3_2026,0.1068710233266564,0,True,0
loc_01463,Moderate,Béni Mellal-Khénifra,32.375258333333335,-6.1688,6462.007433585881,11.510530631324814,5.7342919921875,1493.808837890625,0.15,17925.105450182127,Moderate,batch3_2026,0.1416670242080265,0,True,0
loc_01464,Moderate,Béni Mellal-Khénifra,32.360933333333335,-6.112299999999999,5774.355912678583,19.599610091667195,11.2973681640625,1823.040283203125,0.15,22837.09016616074,Moderate,batch3_2026,0.19136393481370514,0,True,0
loc_01465,Easy,Béni Mellal-Khénifra,32.18674444444444,-6.495072222222222,1413.2144172501196,23.827622881797826,16.426328125,1066.827880859375,0.35,21129.0337464837,Easy,batch3_2026,0.2672355583891552,0,False,1
loc_01466,Difficult,Béni Mellal-Khénifra,32.19753333333333,-6.4971,1544.7807096570723,23.83337886043753,14.559189453125,849.0660400390625,0.15,20337.99022411309,Difficult,batch3_2026,0.286987495143561,0,True,0
loc_01467,Difficult,Béni Mellal-Khénifra,32.164674999999995,-6.5732333333333335,3553.1428854336964,32.14090053694167,23.2616796875,1245.5802001953125,0.35,27981.18117312964,Difficult,batch3_2026,0.10454370833218823,0,True,0
loc_01468,Moderate,Béni Mellal-Khénifra,32.171080555555555,-6.790813888888889,171.0041888770192,11.437396057899482,4.88581787109375,693.68017578125,0.55,44960.23516042084,Moderate,batch3_2026,0.7384887764036291,1,False,0
loc_01469,Moderate,Béni Mellal-Khénifra,32.08453333333333,-6.639611111111111,3315.217213383241,4.73627566769866,3.43452880859375,652.3970947265625,0.55,38679.250465157646,Moderate,batch3_2026,0.4265079017090077,0,True,0
loc_01470,Moderate,Béni Mellal-Khénifra,32.099761111111114,-6.594802777777778,1088.6231566960328,3.601957529403,2.08179443359375,665.2703857421875,0.55,34576.55741285727,Moderate,batch3_2026,0.5546498475791705,1,False,0
loc_01471,Difficult,Béni Mellal-Khénifra,32.058899999999994,-6.681425,327.69695728553586,19.116230241781388,10.57635986328125,780.5675048828125,0.55,43475.47300156792,Difficult,batch3_2026,0.43353114615940347,0,True,0
loc_01472,Moderate,Béni Mellal-Khénifra,32.029066666666665,-6.726363888888889,1812.1570222355624,36.63446336536198,23.81321533203125,580.738037109375,0.35,48821.97514904517,Moderate,batch3_2026,0.21497531348288484,0,True,0
loc_01473,Moderate,Béni Mellal-Khénifra,32.0179,-6.741741666666667,1964.943459157908,18.293352578489618,11.23030517578125,814.5068969726562,0.15,50727.24884191021,Moderate,batch3_2026,0.3128685072533953,0,True,0
loc_01474,Moderate,Béni Mellal-Khénifra,32.00463055555556,-6.740880555555556,736.3486322586995,10.622066110450186,5.28754150390625,745.3609008789062,0.15,51705.82340714439,Moderate,batch3_2026,0.561415515704335,1,False,0
loc_01475,Moderate,Béni Mellal-Khénifra,31.9776,-6.705905555555556,3353.9393368891165,11.709553855875036,6.87673828125,1160.3094482421875,0.35,51708.93386541995,Moderate,batch3_2026,0.5074467111990048,1,False,0
loc_01476,Moderate,Béni Mellal-Khénifra,32.12541111111111,-6.832025,176.2645064268122,2.8495228252398355,1.4621484375,606.369384765625,0.2,50658.86428381946,Moderate,batch3_2026,0.8305946857028177,1,False,0
loc_01477,Difficult,Béni Mellal-Khénifra,32.10018055555555,-6.834963888888889,2025.592303170644,13.588821785012623,8.8225634765625,828.4217529296875,0.15,52249.33040086005,Difficult,batch3_2026,0.34790917512130526,0,True,0
loc_01478,Moderate,Béni Mellal-Khénifra,32.10639722222222,-6.819066666666666,1117.7453195643056,16.528015026187692,10.23479736328125,740.1966552734375,0.15,50607.11991108413,Moderate,batch3_2026,0.4003583458860006,0,True,0
loc_01479,Moderate,Béni Mellal-Khénifra,32.09368333333334,-6.766983333333333,1289.423780271283,5.53826227231752,2.9121728515625,737.8165893554688,0.15,47218.61992990546,Moderate,batch3_2026,0.6384958318817011,1,False,0
loc_01480,Easy,Béni Mellal-Khénifra,32.47123611111111,-5.9957972222222224,209.8538257270949,5.34869557288783,3.1626611328125,1044.3590087890625,0.15,36863.45144305271,Easy,batch3_2026,0.6122675176603831,1,True,1
loc_01481,Easy,Béni Mellal-Khénifra,32.43338055555555,-5.988777777777778,244.38201726140585,11.133116793766645,5.9595703125,1197.94921875,0.2,35965.41216304425,Easy,batch3_2026,0.390736381165363,0,False,1
loc_01482,Moderate,Béni Mellal-Khénifra,32.415638888888886,-5.989605555555555,2.330079392450324,10.540168371491893,5.635556640625,1180.78515625,0.15,35338.365041033045,Moderate,batch3_2026,0.3916243676533704,0,True,0
