Locality_ID,Region,origin,y_difficult,knn_pred_difficult,gp_pred_difficult,y_easy,knn_pred_easy,gp_pred_easy
loc_01269,Tanger-Tétouan-Al Hoceima,batch3_2026,0,0,0,1,1,1
loc_01270,Fés-Meknés,batch3_2026,0,0,0,1,1,0
loc_01271,Fés-Meknés,batch3_2026,0,0,0,1,1,0
loc_01272,Fés-Meknés,batch3_2026,0,0,0,0,1,1
loc_01273,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_01274,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_01275,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_01276,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_01277,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_01278,Fés-Meknés,batch3_2026,0,0,0,0,1,0
loc_01279,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_01280,Fés-Meknés,batch3_2026,0,0,0,0,1,0
loc_01281,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_01282,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_01283,Fés-Meknés,batch3_2026,0,1,0,0,0,0
loc_01284,Fés-Meknés,batch3_2026,0,0,0,0,0,0
loc_01285,Fés-Meknés,batch3_2026,0,0,0,1,0,0
loc_01286,Fés-Meknés,batch3_2026,0,0,0,1,1,1
loc_01287,Béni Mellal-Khénifra,batch3_2026,0,0,0,1,0,1
loc_01288,Béni Mellal-Khénifra,batch3_2026,0,0,0,1,0,1
loc_01289,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,1,1
loc_01290,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,0,1
loc_01291,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,0,1
loc_01292,Béni Mellal-Khénifra,batch3_2026,0,0,0,0,0,1
loc_01293,Béni Mellal-Khénifra,batch3_2026,0,0,0,1,0,1
loc_01294,Béni Mellal-Khénifra,batch3_2026,0,0,0,1,0,1
