Locality_ID,Expert_Class,Region,Latitude_WGS84,Longitude_WGS84,Dist_to_Highway_m,Slope_deg,Ruggedness,Elevation_m,LULC_Friction,Dist_to_Settlement_m,Expert_Merged,origin,proba,pred,correct,y,region_threshold,pred_regiontuned
loc_00212,Easy,Rabat-Salé-Kénitra,33.39418611111111,-6.580788888888889,72.95205593115334,4.49880831711727,6.043435341070507,663.9046020507812,0.15,60715.526333693015,Easy,original_733,0.0847730158311134,0,True,0,0.09,0
loc_00215,Difficult,Rabat-Salé-Kénitra,33.418055555555554,-6.1025,2934.7080112215344,9.260121288228264,12.3679390899406,1094.5390625,0.15,45921.543124997785,Difficult,original_733,0.0903146413355096,0,False,1,0.09,1
loc_00216,Difficult,Rabat-Salé-Kénitra,33.4225,-6.101944444444444,3314.9803800653053,14.85193425768101,15.642600319602272,1090.9998779296875,0.15,45425.142427931845,Difficult,original_733,0.1234272651825472,0,False,1,0.09,1
loc_00213,Moderate,Rabat-Salé-Kénitra,33.441111111111105,-6.0525,383.703742020012,9.770978255625971,10.299477821539256,1057.6158447265625,0.15,43314.39369054656,Moderate,original_733,0.8182761864982373,1,False,0,0.09,1
loc_00214,Moderate,Rabat-Salé-Kénitra,33.441111111111105,-6.0525,383.703742020012,9.770978255625971,10.299477821539256,1057.6158447265625,0.15,43314.39369054656,Moderate,original_733,0.8182761864982373,1,False,0,0.09,1
loc_00224,Moderate,Rabat-Salé-Kénitra,33.48583333333333,-6.158333333333334,25.06700932051426,8.407937950893986,11.69063599641658,966.596923828125,0.15,39114.71660600604,Moderate,original_733,0.0719770441003695,0,True,0,0.09,0
loc_00211,Moderate,Rabat-Salé-Kénitra,33.52388888888889,-6.256388888888889,0.5709634743400596,20.046784764531846,21.15651179542226,660.7017211914062,0.15,38078.45411526079,Moderate,original_733,0.0815748532540071,0,True,0,0.09,0
loc_00210,Easy,Rabat-Salé-Kénitra,33.52833333333333,-6.251666666666667,2.190064083243175,21.21919430792612,15.589568839585484,635.47900390625,0.15,37441.325634026405,Easy,original_733,0.0434174102433856,0,True,0,0.09,0
loc_00205,Moderate,Rabat-Salé-Kénitra,33.54575277777778,-6.007341666666667,5.661709784780889,5.556494651297465,6.160515399018595,1070.009521484375,0.2,32209.813095178008,Moderate,original_733,0.0893740674893781,0,True,0,0.09,0
loc_00208,Moderate,Rabat-Salé-Kénitra,33.545833333333334,-6.0075,5.581808355508264,5.24675434150337,6.475165248902376,1067.983642578125,0.2,32198.270257948785,Moderate,original_733,0.0415973230075213,0,True,0,0.09,0
