Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m,Geology_Class,Soil_Class
loc_00112,Normal fault of El Malha river,34.57602222222223,-5.4805,Rabat-Sale-Kenitra,,396.34124755859375,17.573533501660847,8.48516357421875,433.6496232897254,0.15,26128.814061453795,64.0,9.0
loc_00113,Volcanic flow of Boulhmayl river,34.393255555555555,-6.469327777777778,Rabat-Sale-Kenitra,,0.0,1.3162695274936986,0.42689028263092044,2684.8096884755732,0.9,17043.998588639606,24.0,2.0
loc_00114,Gayville beach potholes,33.93679444444444,-6.946277777777778,Rabat-Sale-Kenitra,,-0.12616416811943054,3.4858600000504754,1.7897290724515915,284.1475493461749,0.75,13559.649658835453,82.0,5.0
loc_00115,Koudiat Ech-Cherif,34.03132222222222,-6.843502777777777,Rabat-Sale-Kenitra,,4.31886100769043,5.242848908130211,3.597892748117447,42.924527049172,0.1,1080.8739946477863,82.0,3.0
loc_00116,Sebt-Merchouch plateau Angular Unconformity,33.848572222222224,-6.966044444444445,Rabat-Sale-Kenitra,,38.516822814941406,16.629921727074436,7.822418212890625,519.9239948299739,0.15,22461.69367111007,14.0,5.0
loc_00118,Jbel Moghrane's Westphalian Molasse,34.39001666666667,-6.469991666666667,Rabat-Sale-Kenitra,,0.0,3.0538958597524033,1.7431472110748292,2759.8094611121664,0.9,16709.240768653097,24.0,2.0
loc_00119,Stratotype GSSP Tortonian- Messinian Limit,33.9363,-6.788841666666666,Rabat-Sale-Kenitra,,31.671010971069336,23.250579038013573,16.310399894714354,238.24106775068793,0.15,10654.460930969166,14.0,3.0
loc_00120,Jorf Lakhdar Geosite,34.740766666666666,-2.0449166666666665,Oriental,,654.5737915039062,4.477381429711585,2.36364990234375,3735.7255034784203,0.35,12672.167874967445,18.0,5.0
loc_00121,Guilliz Geosite,34.47788611111111,-3.3419972222222225,Oriental,,439.3240966796875,1.0910564611711182,0.53631103515625,229.34043219802402,0.1,28071.681717191794,14.0,5.0
loc_00122,Dinosaur footprint site of Anza,30.445833333333333,-9.660833333333333,Souss-Massa,,2.359434127807617,3.147838543348124,1.9219890809059144,664.2212330942424,0.1,7899.102444960782,82.0,5.0
