Observation_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Locality_Center_Lat,Locality_Center_Lon,Locality_Group_Key,Coordinate_Precision,Source_File,Source_Row_Ref,Center_Coord_Source,Is_Merchich_Format
obs3_00140,Chtifat (C 3),33.2975,-5.122777777777777,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,149,,False
obs3_00141,Sud Izyar,33.245,-5.096388888888889,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,150,,False
obs3_00142,Azougouash,32.972500000000004,-5.14138888888889,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,151,,False
obs3_00143,Houirt,33.653055555555554,-4.614999999999999,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,152,,False
obs3_00144,Bekrit,33.0625,-5.240277777777778,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,153,,False
obs3_00145,Outgui,33.63388888888889,-5.248055555555555,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,154,,False
obs3_00146,Si Mghid,33.19583333333333,-5.260555555555555,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,155,,False
obs3_00147,Ariana,33.51638888888889,-5.2427777777777775,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,156,,False
obs3_00148,Ain Kahla,33.22805555555556,-5.219166666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,157,,False
obs3_00149,Sidi abdel aziz,33.261944444444445,-5.053888888888888,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,158,,False
obs3_00150,Louugnina,33.01083333333333,-4.832222222222222,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,159,,False
obs3_00151,Talsast,33.228611111111114,-5.281666666666666,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,160,,False
obs3_00152,Lachmine N'kettane (LK 1),33.3825,-5.125555555555555,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,161,,False
obs3_00153,Lachmine Lakbir (LA2),33.191111111111105,-5.1025,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,162,,False
obs3_00154,Ali ou ahmed (A 1),33.22361111111111,-4.970277777777778,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,163,,False
obs3_00155,Ali ou ahmed (A 2),33.22361111111111,-4.970277777777778,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,164,,False
obs3_00156,Ich Ouaharrouq (IO 2),33.405,-5.139722222222223,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,165,,False
obs3_00157,Ras Elma,33.45111111111111,-5.149166666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,166,,False
obs3_00158,El koudiat (K 2),33.51722222222222,-5.163055555555556,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,167,,False
obs3_00159,Regada,33.52027777777778,-4.966666666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,168,,False
obs3_00160,Dayat Yfrah,33.57333333333334,-4.935555555555556,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,169,,False
obs3_00161,Hebri,33.359722222222224,-5.140555555555556,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,170,,False
obs3_00162,Tahabrite (T 1),33.343611111111116,-5.129444444444444,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,171,,False
obs3_00163,Chmil Assou,33.280277777777776,-5.122777777777777,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,172,,False
obs3_00164,Boutagarouine (B 4),33.28388888888889,-5.087222222222222,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,174,,False
obs3_00165,Boutagarouine (B 5),33.28805555555555,-5.093611111111111,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,175,,False
obs3_00166,Boutagarouine (B 6),33.28638888888889,-5.081666666666666,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,176,,False
obs3_00167,Tabourit,33.18083333333333,-5.251666666666667,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,177,,False
obs3_00168,El koudiat (K 1),33.53138888888889,-5.155277777777778,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,178,,False
obs3_00169,Rabouba,33.23916666666667,-5.132222222222222,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,179,,False
obs3_00170,Mijmouane,33.38611111111111,-5.1675,Beni Mellal-Khenifra,,Middle Atlas,,,geoheritage_aug16_2026_group_5,point,geoheritage_aug16_2026,180,,False
