Geological domain,Administrative region,Auteurs,Titre,Evaluated geosites,Geosite's type,Coordinates,,,,,,,,,,,
,,,,Talsast,,33°13′43″ N,5°16′54″ W,,,,,,,,,,
,,,,Lachmine N'kettane (LK 1),,33°22′57″ N,5°07′32″ W,,,,,,,,,,
,,,,Lachmine Lakbir (LA2),,33°11′28″ N,5°06′09″ W,,,,,,,,,,
,,,,Ali ou ahmed (A 1),,33°13′25″ N,4°58′13″ W,,,,,,,,,,
,,,,Ali ou ahmed (A 2),,33°13′25″ N,4°58′13″ W,,,,,,,,,,
,,,,Ich Ouaharrouq (IO 2),,33°24′18″ N,5°08′23″ W,,,,,,,,,,
,,,,Ras Elma,,33°27′04″ N,5°08′57″ W,,,,,,,,,,
,,,,El koudiat (K 2),,33°31′02″ N,5°09′47″ W,,,,,,,,,,
,,,,Regada,,33°31′13″ N,4°58′00″ W,,,,,,,,,,
,,,,Dayat Yfrah,,33°34′24″ N,4°56′08″ W,,,,,,,,,,
,,,,Hebri,,"33°21'35""N","5°8'26""W",,,,,,,,,,
,,,,Tahabrite (T 1),,"33°20'37""N","5°7'46""W",,,,,,,,,,
,,,,Chmil Assou,,"33°16'49""N","5°7'22""W",,,,,,,,,,
,,,,Boutagarouine (B 3),,331604300 N,"5°5'44""W",,,,,,,,,,
,,,,Boutagarouine (B 4),,"33°17'2""N","5°5'14""W",,,,,,,,,,
,,,,Boutagarouine (B 5),,"33°17'17""N","5°5'37""W",,,,,,,,,,
,,,,Boutagarouine (B 6),,"33°17'11""N","5°4'54""W",,,,,,,,,,
,,,,Tabourit,,"33°10'51""N","5°15'6""W",,,,,,,,,,
,,,,El koudiat (K 1),,"33°31'53""N","5°9'19""W",,,,,,,,,,
,,,,Rabouba,,"33°14'21""N","5°7'56""W",,,,,,,,,,
,,,,Mijmouane,,"33°23'10""N","5°10'3""W",,,,,,,,,,
,,,,Am Larays,,"33°1'51""N","4°53'24""W",,,,,,,,,,
,,,,Ouaoussentecht,,"33°35'42""N","4°40'54""W",,,,,,,,,,
,,,,Aguelman Sidi Ali,,3350700 N,"4°59'45""W",,,,,,,,,,
,,,,Tichniouine,,"33°18'29""N","5°5'40""W",,,,,,,,,,
,,,,Masrabe,,"33°14'32""N","5°2'41""W",,,,,,,,,,
,,,,Habri,,"33°23'00""N","5°9'23""W",,,,,,,,,,
Middle Atlas,Beni Mellal-Khenifra,"De Waele and Melis, 2009","Geomorphology and geomorphological heritage of the Ifrane–Azrou region (Middle Atlas, Morocco)",Jbel Outgui,,"33°38'49.08""N","5°15'10.51""W",,,,,,,,,,
,,,,El Koudiate,,"33°31'3.95""N","5° 8'57.20""W",,,,,,,,,,
,,,,Mischliffen,,"33°24'23.72""N","5° 4'30.07""W",,,,,,,,,,
,,,,Jbel Habri,,"33°23'5.32""N","5° 9'3.46""W",,,,,,,,,,
,,,,Jbel Hebri,,"33°21'7.17""N","5° 8'3.72""W",,,,,,,,,,
,,,,Tit Ouagmar,,"33°18'39.50""N","5° 9'4.32""W",,,,,,,,,,
,,,,Bou Ibalrhatene,,"33°20'7.32""N","5° 3'30.71""W",,,,,,,,,,
