Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Geosite_Type,Geological_Domain,Observation_Count,Member_Observation_IDs,Source_Files,Correction_Applied,Ground_Truth_Note
loc_00153,Targant water gap,29.912618,-7.684191,Souss-Massa,G,Anti-Atlas ,1,obs2_00171,geoheritage_expanded_20260809,,
loc_00154,Alougoum water gap,30.089514,-6.910584,Souss-Massa,G,Anti-Atlas ,1,obs2_00172,geoheritage_expanded_20260809,,
loc_00155,Desert mermaid,29.646508,-7.756531,Souss-Massa,G,Anti-Atlas ,1,obs2_00173,geoheritage_expanded_20260809,,
loc_00156,Tata oyster,29.646508,-7.756531,Souss-Massa,G,Anti-Atlas ,1,obs2_00174,geoheritage_expanded_20260809,,
loc_00157,Akka Phillyrea,29.646508,-7.756531,Souss-Massa,G,Anti-Atlas ,1,obs2_00175,geoheritage_expanded_20260809,,
loc_00158,Draa double winged eye,29.028776,-8.591492,Souss-Massa,G,Anti-Atlas ,1,obs2_00176,geoheritage_expanded_20260809,,
loc_00159,Tagragra of Tata inlier,29.899215,-7.94165,Souss-Massa,G,Anti-Atlas ,1,obs2_00177,geoheritage_expanded_20260809,,
loc_00160,Agouliz inlier,29.751482,-8.161377,Souss-Massa,G,Anti-Atlas ,1,obs2_00178,geoheritage_expanded_20260809,,
loc_00161,Aigou inlier,29.737174,-8.320678,Souss-Massa,G,Anti-Atlas ,1,obs2_00179,geoheritage_expanded_20260809,,
loc_00162,Tanmrout inlier,29.737174,-8.320678,Souss-Massa,G,Anti-Atlas ,1,obs2_00180,geoheritage_expanded_20260809,,
loc_00163,Tagragra of Akka inlier,29.460147,-8.677734,Souss-Massa,G,Anti-Atlas ,1,obs2_00181,geoheritage_expanded_20260809,,
loc_00164,Alougoum gorge,30.308991,-6.837444,Souss-Massa,G,Anti-Atlas ,1,obs2_00182,geoheritage_expanded_20260809,,
loc_00165,Tlit gorge,30.278531,-7.062836,Souss-Massa,G,Anti-Atlas ,1,obs2_00183,geoheritage_expanded_20260809,,
loc_00166,Aguinane gorge,30.195719,-7.540216,Souss-Massa,G,Anti-Atlas ,1,obs2_00184,geoheritage_expanded_20260809,,
