Locality_ID,Geosite_Name,Latitude_WGS84,Longitude_WGS84,Region,Elevation_m,Slope_deg,Ruggedness,Dist_to_Highway_m,LULC_Friction,Dist_to_Settlement_m
loc_00410,Troglodyte construction of the Ait Aloui and Ait Izza douars,32.08524444444445,-6.443269444444445,Béni Mellal-Khénifra,823.2761840820312,14.021335198013427,8.41017822265625,2293.8544240586875,0.15,28946.07627793934
loc_00412,Spring of Ain El Ghazi,32.32443055555556,-6.316886111111111,Béni Mellal-Khénifra,751.2222900390625,25.97354632219152,15.29802978515625,839.1015291470054,0.15,3592.605911962817
loc_00414,Canyon of Hansala,32.37435833333333,-6.143083333333334,Béni Mellal-Khénifra,1086.6060791015625,15.491238027761513,9.2711181640625,7635.558792740881,0.55,20248.15967674701
loc_00416,Timskar Waterfalls,32.28123611111111,-6.265222222222223,Béni Mellal-Khénifra,1479.3341064453125,11.093283337835418,5.744248046875,1199.2845037676946,0.35,10161.119823448322
loc_00417,Tazerkount ruiniformes landscapes,32.190777777777775,-6.517761111111111,Béni Mellal-Khénifra,875.7890625,30.30690900616295,18.16795166015625,268.03138100880255,0.55,22211.22273736
loc_00418,Ruiniformes Landscapes of Oribaa,32.30911666666666,-6.353455555555556,Béni Mellal-Khénifra,732.9319458007812,31.206835277079623,18.93763427734375,1947.2285246532492,0.55,2788.3840566741546
loc_00419,Caves of Orbiaa,32.306713888888886,-6.336480555555555,Béni Mellal-Khénifra,856.3054809570312,40.35676743406771,32.1939697265625,966.6468194080779,0.55,3441.604879853175
loc_00420,Caves of Ain El ghazi,32.33271388888889,-6.310772222222222,Béni Mellal-Khénifra,829.86279296875,39.03382585438229,27.46980712890625,1528.0268091123087,0.55,4002.3290221446227
loc_00421,Ain Orbiaa,32.30702222222222,-6.350052777777777,Béni Mellal-Khénifra,666.8530883789062,23.575141591875884,11.6428662109375,2039.2651571168176,0.55,3036.9543437884927
loc_00422,Ruiniformes Landscapes of Tassemit,32.29003055555555,-6.271786111111111,Béni Mellal-Khénifra,1770.8856201171875,23.236450842456957,14.879150390625,1828.2215271437706,0.55,9101.981018357154
loc_00423,Travertines of El Ksiba,32.56476388888888,-6.017641666666667,Béni Mellal-Khénifra,1104.4002685546875,13.298394322903192,7.8219921875,128.93540537664427,0.35,40614.330844394164
loc_00424,Panoramic view of rurate,32.18103055555555,-6.519197222222222,Béni Mellal-Khénifra,1150.20703125,29.046219100563526,17.407265625,15.374456968640088,0.55,23093.31078714143
loc_00425,Spring of Tamoudjout,32.49888055555556,-6.146663888888889,Béni Mellal-Khénifra,620.6895751953125,22.92925618258556,15.325078125,596.4245091943045,0.55,26677.606668947992
loc_00426,Spring of Ouchrah,32.429205555555555,-6.170663888888889,Béni Mellal-Khénifra,667.44970703125,26.49803026675014,14.72223876953125,1514.2368081001782,0.55,20146.00328194392
loc_00427,Panoramic view of   Beni Mellal city,32.32462777777778,-6.337727777777777,Béni Mellal-Khénifra,676.8629760742188,24.494457712059916,18.89115478515625,62.24263006766589,0.55,1811.5368736766386
loc_00428,Caves of the cliffs of Timoulilte,32.20083611111112,-6.4307138888888895,Béni Mellal-Khénifra,821.6721801757812,5.866705243056005,2.62854248046875,697.7691464886241,0.1,16517.21582020234
loc_00429,Cave of the cliffs of Tanougha,32.49078888888889,-6.135119444444445,Béni Mellal-Khénifra,832.3748168945312,7.05834699313499,3.15437744140625,1656.2757074460135,0.1,26885.089028623086
loc_00430,Cave of Foum El Ancer,32.370697222222226,-6.248286111111111,Béni Mellal-Khénifra,812.760498046875,45.91788004616852,37.51030029296875,1378.0541449885343,0.55,10669.945732484011
loc_00431,Sebkha Talaklekt,21.578180555555555,-15.657905555555557,,136.07162475585938,2.174491651736198,1.315350341796875,15781.662422952868,0.1,237089.4183255694
loc_00432,Sebkhet Dkhayla,21.753644444444443,-16.876597222222223,,9.481627464294434,0.5136570154268537,0.2923024749755859,2918.361332407932,0.1,236049.49281363437
loc_00433,Sebkhat Fares,22.41135833333333,-16.41094722222222,,17.501392364501953,1.138937190322789,0.7349296188354493,4395.241372308168,0.1,150447.40207758325
loc_00434,Sebkha of Imili,23.11620555555556,-16.093491666666665,,6.609831809997559,0.25874182139166296,0.11726245880126954,2152.9340121327937,0.1,66061.82386159916
loc_00435,Sebkhat Ad-Dam,23.863325,-15.676680555555556,,46.7088737487793,0.5724181580865383,0.1831109619140625,796.7629237385497,0.1,33004.58627158309
loc_00436,Sebkha of Skaymate,24.54140555555556,-14.960672222222222,,71.84088134765625,5.3050583788702745,2.927693176269531,3781.437176682262,0.1,137181.284023209
loc_00437,Sebkhat Aridal,26.268966666666667,-14.195486111111112,,81.0850830078125,7.839725532663769,4.506864929199219,2285.8349696744062,0.1,139869.62479006368
loc_00438,Sebkha Oum Dba,27.8315,-12.93711388888889,,15.729220390319824,1.0220334455493876,0.41055721282958985,3106.389682875165,0.1,79471.55758111448
loc_00439,Sebkha Tizfourine,27.87375277777777,-12.786202777777778,,18.59610366821289,1.4039282236869826,0.6326457977294921,9067.590256437134,0.1,89579.69833993228
loc_00440,Sebkha Tah,27.7551,-12.71916388888889,,-58.47246170043945,0.2510477742756943,0.07447662353515624,20059.152328825243,0.1,81657.32736548621
loc_00441,Sebkha Tazgha,27.994019444444444,-12.268030555555557,,0.0,7.3589410882800275,4.006783509254456,825.5984604144835,0.9,130646.75566720033
loc_00442,Sebkha Lahmira,28.138022222222222,-11.808975,,112.10525512695312,19.828787451303835,12.748785095214844,6272.583268310361,0.1,174951.32590325928
loc_00443,Sebkha Zima,31.91809444444445,-9.11181388888889,,393.59857177734375,15.64320065860265,8.785460205078126,3288.4519677067437,0.2,44075.256003871196
loc_00444,Sebkha Lamhaguen,27.85493055555556,-12.649913888888888,,33.27138900756836,0.7759972993967685,0.3910136413574219,13879.291266464017,0.1,94657.28761976578
