Locality_ID,Geosite_Name,Region,Reference,Title
loc_00400,"Cambrian sandstone & shale,Gray massive Cambrian limestones",Marrakech-Safi,El Hamidy et al.2024,"Jbel Irhoud Geosite, the Cradle of Humanity (Youssoufia Province, 
Marrakech‑Safi region, Morocco): Evaluation and Valorization 
of the Geological Heritage for Geoeducation and Geotourism Purposes"
loc_00401,The western tip of the Cambrian crest,Marrakech-Safi,El Hamidy et al.2024,"Jbel Irhoud Geosite, the Cradle of Humanity (Youssoufia Province, 
Marrakech‑Safi region, Morocco): Evaluation and Valorization 
of the Geological Heritage for Geoeducation and Geotourism Purposes"
loc_00402,Cap Beddouza,Marrakech-Safi,El Hamidy et al.2025,"The geosites of Safi province (Marrakech-Safi region, Morocco): Inventory and assessment for geoconservation, geotourism, geoeducation, geoparks, and local sustainable development"
loc_00403,beach of Sidi Bouzide,Marrakech-Safi,El Hamidy et al.2025,"Proposed geo-educational activities at the Sidi Bouzid geosite, Safi Province, Marrakech-Safi region, Morocco"
loc_00404,The source Lalla Mira,Marrakech-Safi,El Hamidy et al.2025,"Proposed geo-educational activities at the Sidi Bouzid geosite, Safi Province, Marrakech-Safi region, Morocco"
loc_00405,The wave of Saf,Marrakech-Safi,El Hamidy et al.2025,"Proposed geo-educational activities at the Sidi Bouzid geosite, Safi Province, Marrakech-Safi region, Morocco"
loc_00406,The caldera of the Michliffen,Draa-Tafilalet & Fès-Méknès,El Wartiti et al.2007, Geosites inventory of the northwestern Tabular Middle Atlasof Morocco
loc_00407,Ruiniform landscape,Draa-Tafilalet & Fès-Méknès,El Wartiti et al.2007, Geosites inventory of the northwestern Tabular Middle Atlasof Morocco
loc_00408,Fairy chimneys of Assamar,Béni Mellal-Khénifra, Bouzekraoui et al.2018,"Mapping geoheritage for geotourism management, a case study of Aït Bou Oulli Valley in Central High-Atlas (Morocco)"
loc_00409,Amsittene Fm,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00410,Id ou Moulid Fm,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00411,Arich Ouzella cave,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00412,Subvertical strata,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00413,Triassic-Quaternary contact,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00414,Quaternary-Jurassic contact,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00415,Fold hinge,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00416,Cretaceous Quaternary contact,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00417,Triple point,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00418,Macrofossils,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00419,Fossiliferous dunes,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00420,Folded structure1,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00421,Folded structure 2,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00422,Folded structure 3,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00423,Amsittene folded structures,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00424,Alluvial cone,Marrakech-Safi, Arrad et.al 2020,"From geoheritage inventory to geoeducation and geotourism implications:
 Insight from Jbel Amsittene (Essaouira province, Morocco)"
loc_00425,The alluvial plain of Tadakoust,Souss-Massa,"Berred and Berred,2021","Climate Change Issues, Challenges, and Impacts in Terms of Rural Geo‑biological and Cultural Tourism Activity Development in Semiarid Areas: a Case Study from Tata, Bani Geopark (Anti‑Atlas, South Morocco)"
loc_00426,Deflation phenomenon in the Drâa plain,Souss-Massa,"Berred and Berred,2021","Climate Change Issues, Challenges, and Impacts in Terms of Rural Geo‑biological and Cultural Tourism Activity Development in Semiarid Areas: a Case Study from Tata, Bani Geopark (Anti‑Atlas, South Morocco)"
loc_00427,Engravings in Tamzrart region,Souss-Massa,"Berred and Berred,2021","Climate Change Issues, Challenges, and Impacts in Terms of Rural Geo‑biological and Cultural Tourism Activity Development in Semiarid Areas: a Case Study from Tata, Bani Geopark (Anti‑Atlas, South Morocco)"
loc_00428,engravings in Tadakous,Souss-Massa,"Berred and Berred,2021","Climate Change Issues, Challenges, and Impacts in Terms of Rural Geo‑biological and Cultural Tourism Activity Development in Semiarid Areas: a Case Study from Tata, Bani Geopark (Anti‑Atlas, South Morocco)"
loc_00429,Laila Island,Tanger-Tétouan-Al Hoceima,Ben Ali et al.2023,"Inventory and Quantitative Assessment of Belyounech Commune Geosites (East of the Site of Biological and Ecological Interest of Jbel Moussa, Northern Moroccan Rif)"
loc_00430,Akhfénir Cliff,Laayoune-Dakhla,Mirari et al.2020,"Geosites for Geotourism, Geoheritage,
 and Geoconservation of the Khnefiss National Park, Southern Morocco"
loc_00431,Sand dunes,Laayoune-Dakhla,Mirari et al.2020,"Geosites for Geotourism, Geoheritage,
 and Geoconservation of the Khnefiss National Park, Southern Morocco"
loc_00432,Akhfennir Sinkhole,Laayoune-Dakhla,Mirari et al.2020,"Geosites for Geotourism, Geoheritage,
 and Geoconservation of the Khnefiss National Park, Southern Morocco"
loc_00433,Water spring,Tanger-Tétouan-Al Hoceima,AbdelMaksoud et al.2025,"Preserving Geoheritage in Chefchaouen-Morocco, After a Well Accident: A Focus on Sustainability"
loc_00434,Panoramic view to the folded mountains,Tanger-Tétouan-Al Hoceima,AbdelMaksoud et al.2025,"Preserving Geoheritage in Chefchaouen-Morocco, After a Well Accident: A Focus on Sustainability"
loc_00435,Petrified wood intruded by iron deposits,Tanger-Tétouan-Al Hoceima,AbdelMaksoud et al.2025,"Preserving Geoheritage in Chefchaouen-Morocco, After a Well Accident: A Focus on Sustainability"
