Excel_Row_Index,Geosite_Name,Geosite_Type,Geological_Domain,Administrative_Region,Latitude_WGS84,Longitude_WGS84,Coordinate_Extraction_Method,Elevation_m,Slope_deg,Ruggedness,Dist_to_Dam_m,Dist_to_River_m,LULC_Class,Soil_Class,Geology_Class,Dist_to_Highway_m,Dist_to_Piste_m
85,Herbivorous dinosaur footprints,PL,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
86,Izourar plateaus ,SG&S,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
87,Rock engravings of Tizi-n-Tighist,En,Central High Atlas,Béni Mellal-Khénifra,,,No coordinates,,,,,,,,,,
88,Archaeoctic limestone,PL&S,Jbilet Massif,Marrakech-Saf,31.875,-8.866666666666667,Numeric DMS,327.9540710449219,0.39378026127815247,16.94822120666504,7100.591796875,1183.4320068359375,5.0,8.0,8.0,1183.4320068359375,0.0
89,Sandstone-fault families,S&S,Jbilet Massif,Marrakech-Saf,,,No coordinates,,,,,,,,,,
90,"Faiult mirror-gradin 
crystallization",S,Jbilet Massif,Marrakech-Saf,,,No coordinates,,,,,,,,,,
91,Karst networks of barite,S&M,Jbilet Massif,Marrakech-Saf,,,No coordinates,,,,,,,,,,
92,Calcite crystals,Pt,Jbilet Massif,Marrakech-Saf,,,No coordinates,,,,,,,,,,
93,"Cambrian sandstone & shale,Gray massive Cambrian limestones",S,Jbilet Massif,Marrakech-Saf,,,No coordinates,,,,,,,,,,
94,,,Jbilet Massif,Marrakech-Saf,,,No coordinates,,,,,,,,,,
95,The western tip of the Cambrian crest,S,Jbilet Massif,Marrakech-Saf,,,No coordinates,,,,,,,,,,
96,Jbel Irhoud anticline,S,Jbilet Massif,Marrakech-Saf,,,No coordinates,,,,,,,,,,
97,Sidi Bouzid escarpment,"S,St&PL",Meseta,Marrakech-Safi,32.30027777777777,-9.251111111111111,Numeric DMS,163.3418426513672,1.3409453630447388,36.214691162109375,14667.2197265625,4256.6865234375,4.0,3.0,45.0,0.0,1183.4320068359375
98,Chaâba valley,"S,S&PL",Meseta,Marrakech-Safi,32.30277777777778,-9.230833333333331,Numeric DMS,225.07142639160156,0.6349368691444397,23.27971839904785,12300.35546875,3550.2958984375,15.0,3.0,45.0,0.0,0.0
99,Sidi Abderrahmane clayquarry,S/St,Meseta,Marrakech-Safi,32.3325,-9.176666666666666,Numeric DMS,225.07142639160156,0.39378100633621216,11.639607429504395,7100.591796875,7333.60986328125,15.0,3.0,45.0,0.0,0.0
100,Sidi Abderrahmane dam,H,Meseta,Marrakech-Safi,32.323888888888895,-9.180277777777777,Numeric DMS,204.49490356445312,0.17610637843608856,9.876779556274414,7100.591796875,6150.177734375,4.0,3.0,45.0,0.0,0.0
101,Escarpment of Lalla Fatna,"S,PL&St",Meseta,Marrakech-Safi,32.3875,-9.265,Numeric DMS,101.61224365234375,1.9041863679885864,54.72618103027344,16549.703125,13483.7861328125,13.0,,,0.0,0.0
102,Cap Beddouza,S/St/G,Meseta,Marrakech-Safi,32.55083333333333,-9.272777777777778,Numeric DMS,,,,7333.60986328125,4970.4140625,15.0,5.0,,0.0,1183.4320068359375
103,El Goraan cave,G,Meseta,Marrakech-Safi,32.5575,-9.254166666666666,Numeric DMS,122.18877410888672,0.176106259226799,48.428497314453125,4966.74560546875,3313.609619140625,13.0,,69.0,0.0,0.0
104,Souira Lgdima,"S,St&G",Meseta,Marrakech-Safi,32.03777777777778,-9.340555555555556,Numeric DMS,307.3775634765625,4.137856483459473,101.92008209228516,30284.8515625,0.0,4.0,8.0,69.0,0.0,0.0
